,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
37,2021,"Accounting, Banking & Finance",Senior Administrator ,Legendary Level,College degree,Female,USD 76000,USD 10000,USD 86000,Mid Life,United States,Manhattan,White
38,2021,Government and Public Administration,Staff Services Manager II,Experienced Level,Master's degree,Female,USD 78000,USD 0,USD 78000,Junior,United States,Sacramento,White
39,2021,"Accounting, Banking & Finance",Receptionist,Junior Level,College degree,Female,USD 37000,USD 0,USD 37000,Mid Life,United States,Dallas,White
40,2021,Engineering or Manufacturing,Lead Engineer,Veteran Level,College degree,Female,USD 100000,USD 50000,USD 150000,Experienced,United States,waynesboro,White
41,2021,"Marketing, Advertising & PR",Senior Copywriter,Senior Level,College degree,Female,GBP 35000,GBP 6000,GBP 41000,Junior,United Kingdom,Liverpool,White
42,2021,Government and Public Administration,Manager of Data Integrity and Prospect Research,Legendary Level,College degree,Male,USD 65000,USD 0,USD 65000,Mid Life,United States,Richmond,White
43,2021,Computing or Tech,Principal Software Engineer,Experienced Level,College degree,Female,USD 187500,USD 5000,USD 192500,Mid Life,United States,Pittsburgh,White
44,2021,Computing or Tech,Intelligence Analyst,Experienced Level,Master's degree,Male,USD 110000,USD 20000,USD 130000,Mid Life,United States,"Arlington, VA",White
45,2021,Nonprofits,Project Manager,Experienced Level,College degree,Female,USD 66625,USD 1500,USD 68125,Mid Life,Australia,Boston,Multiracial
46,2021,Computing or Tech,Mobile developer,Legendary Level,PhD,Female,USD 144600,USD 2500,USD 147100,Junior,United States,Boston,White
47,2021,Computing or Tech,Product Design Director,Senior Level,College degree,Female,USD 200850,USD 40000,USD 240850,Junior,United States,Chapel Hill,White
48,2021,Engineering or Manufacturing,Engineering specialist,Senior Level,College degree,Female,CAD 120000,CAD 1500,CAD 121500,Mid Life,Canada,Vancouver,White
49,2021,Retail,"Manager, Total Rewards",Experienced Level,College degree,Female,CAD 97500,CAD 10000,CAD 107500,Mid Life,Canada,Toronto,White
51,2021,Education (Primary/Secondary),Science Teacher (Public High School),Legendary Level,Master's degree,Female,USD 53000,USD 1000,USD 54000,Mid Life,United States,Apple Valley,White
52,2021,"Marketing, Advertising & PR","Senior Manager, Programmatic",Experienced Level,College degree,Female,USD 95000,USD 10000,USD 105000,Mid Life,United States,Chicago,White
53,2021,Computing or Tech,Managed Services Sales Coordinator,Senior Level,Master's degree,Female,USD 72000,USD 3000,USD 75000,Junior,United States,Troy,White
54,2021,Media & Digital,Editor,Senior Level,College degree,Female,CAD 52000,CAD 0,CAD 52000,Junior,Canada,Toronto,Asian or Asian American
55,2021,Engineering or Manufacturing,Water Resources Engineer,Veteran Level,Master's degree,Female,USD 106000,USD 0,USD 106000,Junior,United States,Boston,White
57,2021,Business or Consulting,Account Supervisor,Senior Level,College degree,Female,USD 100500,USD 3000,USD 103500,Mid Life,Australia,Washington,White
58,2021,Law,Legal Secretary,Experienced Level,Some college,Female,USD 33200,USD 0,USD 33200,Mid Life,Australia,Linden,White
59,2021,Government and Public Administration,Policy Lead,Senior Level,Master's degree,Female,GBP 52000,GBP 0,GBP 52000,Junior,United Kingdom,Bristol,White
62,2021,Property or Construction,Safety Director,Legendary Level,College degree,Male,USD 104000,USD 25000,USD 129000,Retired,United States,Atlanta,White
65,2021,Education (Higher Education),Research Programmer,Legendary Level,Master's degree,Non Binary,USD 70000,USD 0,USD 70000,Mid Life,United States,Providence,White
66,2021,Nonprofits,"Manager, Natural Climate Solutions Development",Legendary Level,Master's degree,Female,USD 84000,USD 8400,USD 92400,Mid Life,United States,District of Columbia,White
67,2021,Health care,AR Manager,Veteran Level,Master's degree,Female,USD 53000,USD 0,USD 53000,Junior,United States,Bloomington,White
68,2021,Computing or Tech,Technical specialist,Legendary Level,College degree,Female,USD 34000,USD 2000,USD 36000,Mid Life,United States,Minneapolis,White
70,2021,Government and Public Administration,City Research Scientist II,Legendary Level,Master's degree,Male,USD 87000,USD 0,USD 87000,Mid Life,United States,New York City,White
71,2021,Aerospace contracting,Project engineer ,Senior Level,Master's degree,Female,USD 122000,USD 3600,USD 125600,Junior,United States,Colorado Springs,White
72,2021,Insurance,Pricing Analyst,Legendary Level,Master's degree,Female,GBP 45000,GBP 2000,GBP 47000,Mid Life,United Kingdom,Southampton,White
75,2021,Nonprofits,Supervisory Archivist,Senior Level,Master's degree,Female,USD 71000,USD 0,USD 71000,Junior,Australia,NYC (remotely),White
77,2021,Education (Primary/Secondary),High School Teacher at an independent school,Senior Level,Master's degree,Female,USD 75000,USD 0,USD 75000,Junior,United States,Atlanta,White
78,2021,Education (Higher Education),Manager of Market Research and Data,Veteran Level,Master's degree,Female,USD 80000,USD 0,USD 80000,Junior,United States,Raleigh,White
83,2021,Art & Design,Senior UX Designer,Senior Level,College degree,Female,USD 90000,USD 1000,USD 91000,Mid Life,United States,Philadelphia,White
84,2021,Engineering or Manufacturing,Senior Engineer ,Experienced Level,College degree,Female,USD 105000,USD 13000,USD 118000,Junior,United States,Philadelphia (suburbs),White
85,2021,Nonprofits,Office Administrator,Senior Level,High School,Male,CAD 60000,CAD 0,CAD 60000,Junior,Canada,"Kitchener, Ontario",White
86,2021,Education (Higher Education),Digital Archivist,Senior Level,Master's degree,Female,USD 65000,USD 0,USD 65000,Junior,United States,Philadelphia,White
87,2021,Business or Consulting,Associate Program Manager,Legendary Level,Master's degree,Female,USD 85000,USD 8500,USD 93500,Mid Life,United States,Chicago,White
90,2021,Energy,Fuel Efficiency Program Analyst,Experienced Level,College degree,Female,USD 76000,USD 0,USD 76000,Mid Life,United States,Washington,White
91,2021,Business or Consulting,Senior Vice President of Marketing,Expert Level,Master's degree,Female,USD 180000,USD 60000,USD 240000,Senior,United States,Boston,White
92,2021,"Accounting, Banking & Finance",Accounting Manager,Legendary Level,Master's degree,Female,USD 90000,USD 0,USD 90000,Mid Life,Australia,Nashville,White
93,2021,Government and Public Administration,Technical Assistant,Legendary Level,Some college,Male,GBP 19300,GBP 0,GBP 19300,Mid Life,United Kingdom,"Newcastle, UK",White
94,2021,Business or Consulting,Senior Administrative Assistant and Project Specialist,Expert Level,Master's degree,Female,USD 65000,USD 5000,USD 70000,Senior,Australia,Seattle,White
95,2021,Computing or Tech,senior web application developer,Veteran Level,College degree,Male,USD 98166,USD 0,USD 98166,Experienced,United States,Indianapolis,White
98,2021,Nonprofits,Program & Administrative Assistant,Legendary Level,College degree,Female,USD 47700,USD 2000,USD 49700,Mid Life,United States,Washington,White
99,2021,Computing or Tech,Chief Engineer,Expert Level,Some college,Male,USD 87000,USD 8000,USD 95000,Senior,United States,Solon,White
101,2021,Education (Higher Education),Administrative Support Assistant,Junior Level,College degree,Female,USD 39635,USD 305,USD 39940,Mid Life,United States,Gainesville,Multiracial
103,2021,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,Expert Level,Some college,Female,USD 47255,USD 0,USD 47255,Experienced,United States,Lafayette,White
104,2021,Property or Construction,Senior Project Manager,Senior Level,College degree,Male,USD 196000,USD 10000,USD 206000,Junior,United States,New York,White
105,2021,Health care,Customer Service Representative,Veteran Level,College degree,Female,USD 34361,USD 0,USD 34361,Experienced,United States,Phoenix,Multiracial
106,2021,Engineering or Manufacturing,Senior Device Engineer,Veteran Level,College degree,Female,USD 150000,USD 20000,USD 170000,Experienced,United States,Boulder,White
107,2021,Hospitality & Events,Graphic Designer,Legendary Level,College degree,Female,USD 75000,USD 0,USD 75000,Mid Life,United States,New York City,White
109,2021,Computing or Tech,Senior Financial Analyst,Experienced Level,Master's degree,Female,USD 107220,USD 16083,USD 123303,Mid Life,Australia,Austin,Asian or Asian American
111,2021,Education (Higher Education),Professor,Veteran Level,PhD,Male,USD 95000,USD 10000,USD 105000,Experienced,United States,Detroit,White
113,2021,"Accounting, Banking & Finance",Finance Manager,Legendary Level,Master's degree,Female,USD 100000,USD 5000,USD 105000,Mid Life,United States,New York,White
115,2021,Education (Higher Education),Medical Education Director,Senior Level,College degree,Female,USD 119000,USD 2500,USD 121500,Junior,United States,Prefer not to answer,White
116,2021,"Accounting, Banking & Finance",Finance acountant,Veteran Level,Master's degree,Female,GBP 66000,GBP 5000,GBP 71000,Experienced,United Kingdom,Glasgow,White
117,2021,Transport or Logistics,Program manager,Senior Level,Master's degree,Female,EUR 60000,EUR 3000,EUR 63000,Junior,Netherlands,The hague,Multiracial
119,2021,Education (Higher Education),Assistant Professor of Law,Junior Level,PhD,Female,USD 145000,USD 15000,USD 160000,Junior,United States,New York City,White
120,2021,"Accounting, Banking & Finance",investment advisor,Junior Level,College degree,Female,CAD 95000,CAD 10000,CAD 105000,Mid Life,Canada,Calgary,White
121,2021,"Marketing, Advertising & PR",Content Writer,Legendary Level,Master's degree,Female,USD 48000,USD 2000,USD 50000,Mid Life,United States,Kansas City,White
122,2021,"Accounting, Banking & Finance",Assistant Director of Finance,Veteran Level,College degree,Female,USD 75000,USD 10000,USD 85000,Experienced,United States,Chicago,White
123,2021,Media & Digital,Digital Marketing Specialist,Senior Level,College degree,Female,USD 42000,USD 0,USD 42000,Junior,United States,Scranton,White
124,2021,Nonprofits,Archivist,Veteran Level,Master's degree,Female,USD 54000,USD 100,USD 54100,Junior,Australia,Dubuque,White
126,2021,Government and Public Administration,Head of Public Sector Data Sharing ,Veteran Level,Master's degree,Female,GBP 50870,GBP 0,GBP 50870,Experienced,United Kingdom,Cardiff,White
127,2021,Medical Devices,QC Supervisor,Expert Level,College degree,Female,USD 60000,USD 500,USD 60500,Senior,United States,San Diego,Middle Eastern or Northern African
128,2021,Nonprofits,Content Development Manager,Expert Level,College degree,Female,USD 101500,USD 0,USD 101500,Senior,United States,Washington,White
129,2021,Academic research (Psychology),Clinical Research Assistant II,Junior Level,College degree,Female,USD 36883,USD 150,USD 37033,Mid Life,United States,Belmont,White
130,2021,Media & Digital,news editor,Senior Level,College degree,Female,USD 85000,USD 0,USD 85000,Mid Life,United States,New York City,White
131,2021,Education (Higher Education),Senior Administrative Assistant ,Legendary Level,College degree,Female,USD 62000,USD 0,USD 62000,Mid Life,United States,Cambridge,White
132,2021,Computing or Tech,Product Manager,Senior Level,College degree,Male,USD 130000,USD 0,USD 130000,Junior,United States,Philadelphia ,White
135,2021,Business or Consulting,"Associate Manager, Education",Legendary Level,College degree,Female,USD 71000,USD 3000,USD 74000,Mid Life,United States,New York City,White
137,2021,public library,Senior Librarian,Legendary Level,Master's degree,Female,USD 63000,USD 0,USD 63000,Mid Life,United States,Manassas,White
138,2021,Engineering or Manufacturing,Project Estimator,Veteran Level,College degree,Female,USD 95000,USD 5000,USD 100000,Junior,United States,Detroit Metro area,White
139,2021,Surveying ,Accounts manager ,Senior Level,Master's degree,Male,AUD/NZD 85000,AUD/NZD 0,AUD/NZD 85000,Junior,Australia,Perth,White
140,2021,Nonprofits,Customer Advocate,Senior Level,Some college,Female,USD 35000,USD 3000,USD 38000,Junior,United States,Newtown Square,White
141,2021,Hospitality & Events,Customer Service Specialist,Legendary Level,College degree,Non Binary,USD 33280,USD 500,USD 33780,Young,United States,"Small city, remote, national company",White
142,2021,"Accounting, Banking & Finance",Accounts Payable Manager,Senior Level,Some college,Female,USD 56000,USD 2500,USD 58500,Junior,United States,Memphis,White
144,2021,Education (Higher Education),Editor,Senior Level,College degree,Female,USD 62000,USD 0,USD 62000,Junior,United States,Dallas,White
146,2021,Nonprofits,Program Associate,Legendary Level,College degree,Female,USD 63000,USD 1000,USD 64000,Mid Life,United States,DC,White
147,2021,Recruitment or HR,Senior People Advisor,Senior Level,College degree,Female,GBP 45000,GBP 10000,GBP 55000,Mid Life,United Kingdom,London,White
149,2021,Nonprofits,Online Sales Support Manager,Senior Level,College degree,Female,USD 86000,USD 6000,USD 92000,Junior,United States,New York ,White
150,2021,PhD,PhD Candidate,Junior Level,Master's degree,Male,GBP 19000,GBP 0,GBP 19000,Young,United Kingdom,Cambridge,White
152,2021,Biopharma,RIM Manager,Veteran Level,College degree,Male,USD 114000,USD 30000,USD 144000,Senior,Australia,Cambridge,White
153,2021,Insurance,Senior Client Service Representative,Expert Level,High School,Female,USD 73000,USD 0,USD 73000,Experienced,Australia,Denver,White
154,2021,Nonprofits,Funding Manager,Senior Level,College degree,Female,GBP 54000,GBP 0,GBP 54000,Junior,United Kingdom,London,White
155,2021,Health care,Clinical analyst,Veteran Level,Master's degree,Female,USD 100000,USD 0,USD 100000,Experienced,United States,Gainesville,White
157,2021,Government and Public Administration,Policy Analyst ,Junior Level,Master's degree,Female,USD 60129,USD 3000,USD 63129,Young,United States,Washington DC,White
158,2021,STEM research,Research Scientist,Senior Level,PhD,Female,USD 135000,USD 0,USD 135000,Experienced,Australia,San Antonio,White
161,2021,"Accounting, Banking & Finance",Senior Accountant,Legendary Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Mid Life,Australia,Columbus,White
162,2021,Nonprofits,Administrative Assistant,Senior Level,College degree,Female,USD 37000,USD 0,USD 37000,Junior,Australia,Shaker Hts,White
163,2021,Engineering or Manufacturing,User experience specialist,Legendary Level,College degree,Female,USD 85000,USD 3000,USD 88000,Mid Life,United States,Charleston,White
164,2021,Media & Digital,Self-employed writer,Senior Level,College degree,Female,USD 45000,USD 20000,USD 65000,Junior,United States,Austin,White
165,2021,Nonprofits,Director of Development,Experienced Level,Master's degree,Female,USD 92000,USD 0,USD 92000,Mid Life,United States,Boston,White
167,2021,Engineering or Manufacturing,Production Technician,Legendary Level,College degree,Male,USD 65000,USD 4000,USD 69000,Mid Life,United States,Madison,White
168,2021,"Marketing, Advertising & PR",Graphic Designer,Senior Level,College degree,Female,USD 35000,USD 0,USD 35000,Junior,United States,Mishawaka,White
169,2021,"Accounting, Banking & Finance",Compliance Officer,Experienced Level,College degree,Female,USD 74000,USD 1000,USD 75000,Mid Life,United States,Tulsa,White
170,2021,Engineering or Manufacturing,Director of Intelligence,Legendary Level,College degree,Male,USD 102500,USD 20000,USD 122500,Mid Life,United States,Tampa,Multiracial
173,2021,Computing or Tech,Software Development Manager,Veteran Level,Some college,Female,USD 140000,USD 5000,USD 145000,Experienced,United States,Denver,White
174,2021,Architecture,Project Architect,Senior Level,Master's degree,Female,USD 58000,USD 4000,USD 62000,Junior,United States,Lambertville,White
175,2021,"Marketing, Advertising & PR",Brand Consultant,Senior Level,College degree,Female,USD 400000,USD 0,USD 400000,Junior,United States,Chatham,White
176,2021,Nonprofits,HR director,Senior Level,Master's degree,Female,USD 61200,USD 0,USD 61200,Junior,United States,Skokie,White
177,2021,"Marketing, Advertising & PR",Marketing Director ,Experienced Level,College degree,Female,GBP 85000,GBP 10000,GBP 95000,Mid Life,United Kingdom,London ,White
178,2021,Recruitment or HR,Talent Acquisition Specialist,Junior Level,College degree,Female,USD 66000,USD 0,USD 66000,Mid Life,United States,Alpharetta,White
179,2021,Computing or Tech,technical support specialist,Experienced Level,College degree,Female,USD 70000,USD 0,USD 70000,Junior,United States,Austin,Black or African American
181,2021,Property or Construction,CAD Manager,Veteran Level,Some college,Female,USD 75500,USD 5000,USD 80500,Experienced,United States,Northeast Florida,White
182,2021,"Marketing, Advertising & PR",Content Strategist and Writer,Experienced Level,Master's degree,Female,USD 57000,USD 0,USD 57000,Mid Life,United States,Richmond,White
186,2021,Health care,Midwife,Junior Level,Master's degree,Female,GBP 31000,GBP 1000,GBP 32000,Mid Life,United Kingdom,Brighton,White
187,2021,"Marketing, Advertising & PR",Associate Creative Director,Senior Level,College degree,Female,USD 215000,USD 10000,USD 225000,Junior,United States,New York City,Other or Prefer not to answer
188,2021,Academic Medicine ,Administrative Specialist,Experienced Level,College degree,Male,USD 55000,USD 2500,USD 57500,Mid Life,United States,Chicago,White
189,2021,Law,Senior Corporate Counsel,Senior Level,PhD,Female,USD 220000,USD 0,USD 220000,Experienced,Australia,San Francisco,Asian or Asian American
194,2021,Media & Digital,UX designer,Junior Level,Master's degree,Female,EUR 36000,EUR 0,EUR 36000,Mid Life,France,Lyon,White
196,2021,Engineering or Manufacturing,Product Engineer,Legendary Level,College degree,Female,USD 57000,USD 0,USD 57000,Mid Life,United States,Seattle,White
197,2021,Computing or Tech,Senior Technical Writer,Experienced Level,College degree,Female,USD 83000,USD 8000,USD 91000,Junior,United States,San Diego,White
198,2021,Nonprofits,Senior Director,Senior Level,College degree,Female,USD 90000,USD 0,USD 90000,Junior,United States,"Washington, DC",White
199,2021,Hospitality & Events,Hotel Sales Manager,Experienced Level,College degree,Female,USD 66950,USD 0,USD 66950,Junior,United States,Indianapolis,White
200,2021,Government and Public Administration,Planner,Junior Level,College degree,Female,USD 76000,USD 0,USD 76000,Mid Life,United States,Merced,Asian or Asian American
201,2021,Engineering or Manufacturing,Principal Engineer,Experienced Level,Master's degree,Female,GBP 52000,GBP 6000,GBP 58000,Mid Life,United Kingdom,Aberdeen,White
202,2021,Nonprofits,Information and Program Manager,Experienced Level,Master's degree,Female,USD 70000,USD 5000,USD 75000,Mid Life,United States,Pittsburgh,White
203,2021,Education (Higher Education),Assistant Professor,Junior Level,PhD,Non Binary,USD 60000,USD 2500,USD 62500,Mid Life,United States,Birmingham,White
204,2021,Engineering or Manufacturing,Media and PR,Senior Level,Master's degree,Female,USD 80000,USD 0,USD 80000,Junior,United States,Omaha,White
205,2021,Nonprofits,Technical assistance provider,Senior Level,Master's degree,Female,USD 70000,USD 0,USD 70000,Junior,Australia,Boston,White
207,2021,Computing or Tech,Strategic Operations and Programme Manager,Senior Level,Master's degree,Female,GBP 90000,GBP 0,GBP 90000,Mid Life,United Kingdom,London,White
208,2021,Education (Higher Education),"Assistant Director, Student Affairs",Senior Level,Master's degree,Female,USD 50000,USD 0,USD 50000,Junior,Australia,Westchester/NYC,White
209,2021,Hospitality & Events,Director of Client Services,Senior Level,College degree,Female,USD 85000,USD 0,USD 85000,Junior,United States,New York City,White
210,2021,Retail,Loss prevention manager,Experienced Level,High School,Female,USD 87000,USD 15000,USD 102000,Junior,Australia,San Jose,White
212,2021,Commercial Real Estate ,Administrative Associate,Senior Level,Some college,Female,USD 55000,USD 5000,USD 60000,Junior,United States,Dallas,White
213,2021,Law,Attorney,Expert Level,Master's degree,Female,USD 275000,USD 0,USD 275000,Senior,United States,Minneapolis,White
215,2021,Engineering or Manufacturing,Software engineer,Senior Level,College degree,Female,USD 139000,USD 9000,USD 148000,Junior,United States,Seattle,White
216,2021,Law,Paralegal / Legal Assistant,Senior Level,College degree,Female,USD 54080,USD 500,USD 54580,Mid Life,United States,Grandville,White
217,2021,Insurance,Manager & Actuary,Senior Level,Master's degree,Female,USD 170000,USD 30000,USD 200000,Junior,United States,New York,White
219,2021,Education (Primary/Secondary),Librarian,Veteran Level,Master's degree,Male,USD 70000,USD 1000,USD 71000,Experienced,United States,Houston,White
220,2021,Nonprofits,Communications Associate,Legendary Level,College degree,Female,USD 53000,USD 0,USD 53000,Mid Life,United States,Washington,White
223,2021,Engineering or Manufacturing,Graduate Research Assitant,Legendary Level,College degree,Female,USD 25700,USD 0,USD 25700,Young,United States,West Lafayette,Multiracial
224,2021,Politics,Deputy C-level,Experienced Level,College degree,Female,USD 105000,USD 0,USD 105000,Mid Life,United States,"Washington, DC",White
229,2021,Government and Public Administration,EOS,Senior Level,Master's degree,Female,USD 95000,USD 2000,USD 97000,Junior,United States,New York,White
231,2021,Animal Health Product Manufacturing,Sr Associate - Quality Assurance,Senior Level,College degree,Female,USD 75000,USD 7500,USD 82500,Junior,United States,Clinton,White
234,2021,Property or Construction,Assistant to Property Managers,Experienced Level,College degree,Female,USD 31500,USD 0,USD 31500,Mid Life,United States,Columbia,Multiracial
236,2021,Health care,Principal Statistical Programmer,Veteran Level,College degree,Non Binary,USD 165000,USD 30000,USD 195000,Junior,United States,Boston ,White
237,2021,"Accounting, Banking & Finance",Reporting Analyst ,Senior Level,Some college,Female,USD 45760,USD 0,USD 45760,Mid Life,United States,Anaheim,Multiracial
238,2021,"Marketing, Advertising & PR",Communications Manager,Legendary Level,College degree,Female,USD 86000,USD 0,USD 86000,Mid Life,United States,Orlando,White
239,2021,Engineering or Manufacturing,Project Manager,Legendary Level,Master's degree,Female,CAD 78240,CAD 0,CAD 78240,Mid Life,Canada,Calgary,White
240,2021,Education (Higher Education),Admissions Advisor,Experienced Level,Master's degree,Female,USD 56000,USD 0,USD 56000,Mid Life,United States,Appleton,White
242,2021,Educational Technology - hybrid between book publishing and technology really,Business Development Specialist,Experienced Level,College degree,Female,USD 67000,USD 2000,USD 69000,Mid Life,United States,Bloomington,White
244,2021,Property or Construction,Assistant Project Manager,Legendary Level,College degree,Female,USD 55000,USD 0,USD 55000,Mid Life,United States,Jacksonville,White
245,2021,Computing or Tech,Supply chain manager,Senior Level,College degree,Female,USD 125000,USD 50000,USD 175000,Junior,United States,Seattle,White
248,2021,Utilities & Telecommunications,Land Analyst,Veteran Level,Some college,Female,USD 60320,USD 0,USD 60320,Experienced,United States,Pittsburgh,White
249,2021,Pharmaceuticals,Regulatory affairs manager ,Legendary Level,PhD,Female,USD 125000,USD 18750,USD 143750,Junior,United States,Durham,White
251,2021,Health care,NP-PHC,Experienced Level,Master's degree,Female,CAD 98000,CAD 0,CAD 98000,Mid Life,Canada,Rural Ontario,White
252,2021,Government and Public Administration,Administrative Assistant,Senior Level,Some college,Female,USD 49000,USD 0,USD 49000,Junior,United States,Newport,White
253,2021,Nonprofits,Director of Development,Senior Level,College degree,Female,USD 120000,USD 0,USD 120000,Junior,United States,Los Angeles,White
254,2021,Education (Higher Education),Teaching Assistant,Junior Level,Master's degree,Non Binary,USD 28000,USD 0,USD 28000,Mid Life,United States,New Brunswick,White
256,2021,Education (Higher Education),Advancement Accounting Assistant,Experienced Level,College degree,Female,USD 40575,USD 0,USD 40575,Junior,United States,Spokane,White
257,2021,Nonprofits,Senior monitoring & evaluation adviser ,Experienced Level,Master's degree,Female,USD 75500,USD 0,USD 75500,Mid Life,Australia,Durham,White
258,2021,"Marketing, Advertising & PR",Copy supervisor,Legendary Level,College degree,Female,USD 115000,USD 12000,USD 127000,Mid Life,Australia,Philadelphia,White
260,2021,Computing or Tech,Visual Designer,Legendary Level,College degree,Female,USD 110000,USD 1400,USD 111400,Mid Life,United States,Chicago (remote) ,White
261,2021,Agriculture or Forestry,Engineering Student Trainee,Entry Level,Some college,Female,USD 29000,USD 0,USD 29000,Young,Australia,Rapid City,White
263,2021,Nonprofits,Information Technology Specialist,Senior Level,Master's degree,Female,USD 47250,USD 0,USD 47250,Senior,United States,"Huntington (remote, HQ is in Charleston)",White
264,2021,Engineering or Manufacturing,Sr. Piping Designer,Senior Level,Some college,Male,USD 96000,USD 4000,USD 100000,Junior,United States,St. Paul,White
265,2021,Computing or Tech,Network Managet,Veteran Level,High School,Non Binary,EUR 260000,EUR 0,EUR 260000,Junior,Germany,Düsseldorf,White
267,2021,Philanthropy,Senior Program Support Associate,Junior Level,Master's degree,Female,USD 72000,USD 0,USD 72000,Mid Life,United States,Washington,White
269,2021,"Accounting, Banking & Finance",Senior Operations Manager,Experienced Level,College degree,Female,USD 132500,USD 55000,USD 187500,Mid Life,United States,New York City,White
270,2021,Computing or Tech,"IT Manager, Financial Systems",Veteran Level,Master's degree,Female,USD 124000,USD 0,USD 124000,Experienced,Australia,Remote,White
271,2021,"Marketing, Advertising & PR",Sr Analytic Consultant,Veteran Level,College degree,Male,USD 108000,USD 0,USD 108000,Experienced,United States,Minneapolis,White
272,2021,"Accounting, Banking & Finance",Principal Consultant ,Senior Level,Master's degree,Female,USD 110000,USD 5000,USD 115000,Junior,Australia,Charlotte ,White
274,2021,Engineering or Manufacturing,Geostructural Design Engineer,Experienced Level,Master's degree,Female,USD 110000,USD 14000,USD 124000,Mid Life,United States,Philadelphia,White
276,2021,Government and Public Administration,Editor,Senior Level,PhD,Female,USD 91000,USD 2000,USD 93000,Mid Life,United States,Washington,White
277,2021,Engineering or Manufacturing,QC Chemistry Manager,Senior Level,Master's degree,Female,USD 117000,USD 17550,USD 134550,Junior,United States,Chaska,White
278,2021,Insurance,Supervisor ,Veteran Level,Some college,Female,USD 59000,USD 7000,USD 66000,Experienced,United States,"Omaha, NE",White
279,2021,Education (Higher Education),Research administrator ,Experienced Level,Master's degree,Female,USD 71697,USD 0,USD 71697,Junior,United States,Philadelphia,White
280,2021,Real Estate,Senior Property Manager,Expert Level,Some college,Female,USD 90000,USD 9000,USD 99000,Experienced,United States,Sacramento,White
